misery; [misery, miseries, miserable]; suffering, feeling especially bad pain, sadness, or unhappiness;
mismanagement; ; a bad job of taking care of something, performing badly as a boss;
missile; [missile, missiles]; something that flies through the air, especially a weapon;
misunderstand; [misunderstand, misunderstands, misunderstood, misunderstanding]; not get the right idea, not know something correctly;
mode; [mode, modes]; a form or variety of something, sometimes a fashion, sometimes a way of behaving or doing something;
molasses; ; a type of thick brown syrup made by melting raw sugar from sugar cane plants;
moment; [moment, moments, momentarily]; an instant, a short amount of time;
Monday; ; the day after Sunday and before Tuesday, the day when the work week begins;
money; ; something like coins or pieces of paper that people use to pay workers or to buy things;
money-loving; ; wanting to buy and spend a lot, sometimes means greedy;
monster; [monster, monsters, monstrous]; a strange or horrible creature, sometimes means to behave like a terrible animal;
month; [month, months, monthly]; a unit of between 28 and 31 days, there are 12 months in the calendar, monthly usually means one time every month;
moor; [moor, moors, moored, mooring, moorings]; to hold a boat or something else big without allowing it to move very much, often using ropes or chains and an anchor, to ‘loose your moorings’ is to be lost;
moral; [moral, morals, morality]; values or behavior that is right and not wrong, sometimes a term for a comment that’s meant to encourage good behavior;
mostly; ; usually, generally, most of the time;
mother; [mother, mothers, mothered, mothering]; a woman who has a child or children, can mean to properly take care of children;
motion; [motion, motions]; how something moves;
motive; [motive, motives]; a reason to do something;
motto; [motto, mottos]; a word or short saying that is put on something like a coin, sometimes a short saying to guide behavior; 
molder; [molder, molders, moldered, moldering, mouldering]; to decay or rot or go moldy, especially because of neglect; 
mount; [mount, mounts, mounted, mounting]; to climb onto something, especially in order to ride it, sometimes means a horse or whatever someone rides, sometimes means an especially high place;
mourn; [mourn, mourns, mourned, mourning, mourner, mourners]; to feel sad for a long time, especially when someone dies;
mud-chimney; ; a chimney made from dried mud or clay, sometimes with small logs held in place by mud or clay;
mulatto; [mulatto, mulattoes]; an old-fashioned word for someone with mixed racial heritage;
multitude; [multitude, multitudes]; a great many things;
murder; [murder, murders, murdered, murdering, murderers, murderess, murderers]; to kill someone on purpose without a legal reason, a serious crime;
mush; [mush, mushy]; ground up corn mixed with water or milk, can mean something soft and squishy;
musket; [musket, muskets]; a old-fashioned type of long gun shaped like a rifle or shotgun;
muster; [muster, musters, mustered, mustering]; to gather things or people together, especially soldiers;
mutual; [mutual, mutually]; shared, given and taken in equal amounts;
myriad; [myriad, myriads]; a great many, far too many to count;
mystery; [mystery, mysteries, mysterious, mysteriously]; something not known, or that has no answer, something strange that can’t be explained;
naked; [naked, nakedly, nakedness]; uncovered, not wearing clothes;
Nantucket; ; an island in the northern state of Massachusetts, on the Atlantic Ocean Nantucket;
Napoleon; ; a famous French general and emperor;
narrate; [narrate, narrates, narrated, narrating, narrative, narration]; to tell a story;
narrow; [narrow, narrows, narrowed, narrowing, narrower, narrowest, narrowly]; not wide, a small space, usually between two things, can mean to become less wide;
nation; [nation, nations, national, nationally, nationality]; a country, usually with clear borders and one government, can mean a group of people with shared background, circumstances, and values;
natural; [natural, naturally]; can mean existing without humans changing anything, can mean the way things usually are;
nature; ; all living and nonliving things that are part of the world, can mean how a person or animal normally behaves;
nearby; [nearby, nigh]; close, nigh;
neat; [neat, neater, neatest, neatly]; clean and tidy;
necessary; [necessary, necessaries, necessarily]; something that can’t be avoided or helped, something that is required, is badly needed;
necessity; [necessity, necessities, necessaries]; something that is required, that must had, or is badly needed;
need; [need, needs, needed, needing, needful]; to have to have something, to not be able to do without something;
negative; [negative, negatively, negativity]; the bad side of something, or refusing something, or below zero; 
Negro; [negro, negroes]; a dark-skinned person with African ancestry;
Negro-breaker; [Negro-breaker, nigger-breaker]; an old fashioned word for a cruel person who tries to turn a free person into a slave;
neighbor; [neighbor, neighbors, neighbored, neighboring]; someone living nearby, or to live nearby, in the same ‘neighborhood’, can mean close or close by, to be ‘neighborly’ is to be friendly and helpful;
neither; ; not one or the other;
nerve; [nerve, nerves, nerved]; body parts that send messages the brain, can mean rude or disrespectful behavior, ‘nerves’ can mean worries, ‘nerved’ can mean prepared for something;
nevertheless; ; anyhow, all the same;
newly-married; ; two people who recently became husband and wife;
Newport; ; a city in the northern state of Rhode Island, on the Atlantic Ocean;
newspaper; [newspaper, newspapers]; printed pages that report the news, and often have advertisements;
nigger; [nigger, niggers]; an ugly word never spoken by intelligent or decent people;
night; [night, nights, nighttime]; the time when the sun doesn’t shine; 
noble; [noble, nobles, nobler, noblest, nobility]; can mean having fine values and qualities, can mean born to a family of high rank or class;
noiseless; [noiseless, noiselessly]; without making any noise, without alerting others;
noisome; ; very disagreeable, unpleasant, not at all nice;
non-compliant; [non-compliant, non-compliance]; not following the rules or laws, not obeying someone’s orders;
non-slaveholder; [non-slaveholder, non-slaveholders, non-slaveholding]; someone who never had slaves;
north; [north, northern, northerly]; the direction toward the North Pole or the North Star, toward the top of a map, sometimes means the free states opposed to slavery;
north-east; [north-east, north-easterly]; a direction between the north and the east;
note; [note, notes, noted, noting, noteworthy]; sometimes means to pay attention, sometimes means to write something down;
notion; [notion, notions]; sometimes means an idea or a desire someone has, sometimes means things used in sewing like buttons, needles, and pins;
notwithstanding; ; despite something else, anyhow, anyway;
numbered; [numbered, numbering]; counted, sometimes means added up to a total; 
o'clock; ; a phrase to describe a time;
oak; [oak, oaks, oaken, oak-tree]; a type of tree with strong wood, acorns are oak seeds, oaken means made of oak;
oath; [oath, oaths]; can mean a very important promise, can mean a swear word;
obdurate; ; stubborn, headstrong, willful, refusing to change;
obedient; [obey, obeys, obeyed, obeying, obedient, obediently, obeisance]; willing to do what someone said to do, following the rules;
object; [object, objects, objected, objecting, objective, objectives]; an OB-ject can mean something you can touch that’s not alive, or can mean a goal, to ob-JECT means to say no or to disagree;
observation; [observation, observations]; seeing or noticing something, sometimes means an opinion someone has or shares with others;
observe; [observe, observes, observed, observing]; to watch, often to watch carefully, sometimes means to make a comment;
obstacle; [obstacle, obstacles]; something that gets in the way or causes a problem;
obtain; [obtain, obtains, obtained, obtaining]; to get, to take for yourself;
obvious; [obvious, obviously]; something that is very clear, easy to understand, cannot be another way;
occasion; [occasion, occasions, occasioned, occasioning]; an event, sometimes an opportunity or a chance, sometimes means something happened;
occasional; [occasional, occasionally]; happens every now and then, not all the time;
occupy; [occupy, occupies, occupied, occupying]; to take up space, sometimes means to live somewhere, sometimes means to keep someone’s attention, or to be busy with something;
occur; [occur, occurs, occurred, occurring, occurrence, occurrences]; to happen, to take place, sometimes means to think of something; 
odds; ; usually means chances of success, if it normally takes you three times to do something, the odds are 1 to 3 that you will succeed on your next try;
odium; [odium, odious, odiousness]; strong dislike or hatred;
offhand; [offhand, off-hand, offhanded, offhandedly]; without much thought or care;
offal; ; garbage, sometimes the remains of dead animals;
offence; [offence, offences]; behavior that goes against the rules, sometimes means breaking a law;
offer; [offer, offers, offered, offering]; to present something to be taken or rejected, sometimes a suggested price;
office; [office, offices]; a place where people work, sometimes a job or position;
office-seekers; [office-seeker, office-seekers]; people trying to get a government job, sometimes people trying to be elected;
often; [often, oftener, oftenest]; frequently, many times, happens a lot;
oil; [oil, oils, oiled, oiling, oily]; a thick greasy liquid that doesn’t dissolve in water, sometimes used to rub on skin, or used to lubricate metal parts, sometimes is burned for energy; 
ooze; [ooze, oozed, oozes, oozing]; usually some kind of thick liquid that moves slowly through a small opening;
open; [open, opens, opened, opening, openly]; not closed, sealed, or locked, not blocked, easy to get through or enter or see;
operation; [operation, operations]; an activity, especially a complicated activity with steps that should be followed, sometimes a medical procedure;
opinion; [opinion, opinions]; an idea about something, sometimes an evaluation of something;
possum; [possum, possums, opossum, opossums]; a wild animal about the size of a cat which has a skinny tail, the mothers keep small babies in a pouch over their stomach;
opossum; [possum, possums, opossum, opossums]; a wild animal about the size of a cat which has a skinny tail, the mothers keep small babies in a pouch over their stomach;
opportunity; [opportunity, opportunities]; a good option, a chance for success;
opposite; [opposite, opposites]; as different as possible, or the other end or side, or across from; 
opposition; ; being against an idea, or a person, or a group of people, the other side;
oppress; [oppress, oppresses, oppressed, oppressing, oppression, oppressor, oppressors]; to control or rule over in a bad way; 
orator; [orator, orators]; a person who delivers a speech to many people gathered together, often means someone good at speaking to groups;
ordain; [ordain, ordains, ordained, ordaining, ordination]; to officially make someone a priest or a minister, or to make an especially important official statement or decree;
order; [order, orders, ordered, ordering]; to command people to do something, or to properly organize and arrange things ;
ordinary; [ordinary, ordinarily]; normal, usual, common;
organize; [organize, organizes, organized, organizing]; to put things in their proper places, sometimes to arrange different parts into one whole;
original; [original, originally, originality]; the first one of something, not copied;
otherwise; ; if things were different, in another way;
ours; ; belonging to us;
ourselves; ; us, we;
out-farms; [outfarm, outfarms]; smaller farms apart from the main farm;
outbreak; [outbreak, outbreaks]; when something spreads quickly, usually something bad like a disease, a fire, or violent behavior;
outlive; [outlive, outlives, outlived, outliving]; to be alive longer than others;
outrage; [outrage, outrages, outraged, outraging, outrageous]; to feel great anger and resentment; 
outskirts; ; the outer parts of a town or city;
overborne; ; defeated, beaten, carried away;
overcome; [overcome, overcomes, overcame, overcoming]; to win, succeed, gain control of something, but to be overcome is to lose;
overhaul; [overhaul, overhaul, overhauled, overhauling]; to check carefully, make necessary repairs, and improve something;
overkind; ; too generous and helpful;
overpower; [overpower, overpowers, overpowered, overpowering]; to defeat someone, often with physical force;
overseer; [overseer, overseers, overseership]; the person who bossed enslaved people as they worked, and who often treated them brutally;
overtake; [overtake, overtakes, overtook, overtaken]; to catch someone or something, or to go ahead of someone or something; 
overwhelm; [overwhelm, overwhelms, overwhelmed, overwhelming]; to overcome or beat down completely;
owe; [owe, owes, owed, owing]; need to pay, to have a debt, to feel a need to give or do something;
own; [own, owns, owned, owning, owner, owners]; something belongs to someone or something ;
ox; [ox, oxen]; sometimes any kind of cow, often a strong male harnessed to pull a wagon or cart;
